,Date,Workout,Result,Prescribed,Work performed,Work time,Formatted Result,workout_name_length,Movements,power
387,2015-11-21,Every 2 mins for 10 mins: Front Squat,1000.17117585,True,6864,600000.0,2205 lbs,37,"front squat, squat",11.44
388,2015-11-21,AMReps 5 mins: Kettlebell Snatch,62.0,True,22435,300000.0,62 reps,32,"kettlebell snatch, snatch",74.7833333333
392,2015-11-17,Every 2 mins for 10 mins: Back Squat,1305.0,True,7950,600000.0,1305 kg,36,"back squat, squat",13.25
396,2015-11-15,Nancy:400 meter run Overhead squat 95 lbs x 15 5 rounds for time.,1061000.0,True,84321,1061000.0,17 mins 41 secs,5,"run, overhead squat, squat",79.4731385485
397,2015-11-15,Every 2 mins for 10 mins: Deadlift,1353.97322445,True,7588,600000.0,2985 lbs,34,deadlift,12.6466666667
401,2015-11-14,21-15-9: Bench Press and Bar Muscle-ups,640000.0,False,7547,640000.0,10 mins 40 secs,39,"muscle-up, bench press, press",11.7921875
402,2015-11-14,Every 2 mins for 10 mins: Overhead Squat,1270.058636,True,10025,600000.0,2800 lbs,40,"overhead squat, squat",16.7083333333
404,2015-11-13,Every 1 min for 20 mins: Power Cleans and Strict Handstand Push-ups,20.0,False,17787,1200000.0,20.0 rounds,67,"handstand push-up, push-up, strict handstand push-up, clean, power clean",14.8225
405,2015-11-13,Every 2 mins for 10 mins: Strict Press,850.48569375,True,3310,600000.0,1875 lbs,38,"press, strict press",5.51666666667
406,2015-11-12,"Chipper: 400 m, Prone Dislocates, Squat Preps and Rtc Preps",510000.0,False,11988,510000.0,8 mins 30 secs,59,"prone dislocate, rtc prep, squat prep, squat",23.5058823529
407,2015-11-12,Jackie:1000 meter row Thruster 45 lbs (50 reps) Pull-ups (30 reps) For time.,796000.0,True,64826,796000.0,13 mins 16 secs,6,"row, pull-up, thruster",81.4396984925
408,2015-11-12,Every 2 mins for 10 mins: Back Squat,1984.46661875,True,12571,600000.0,4375 lbs,36,"back squat, squat",20.9516666667
410,2015-11-10,Row 2 km TT,512000.0,True,63024,512000.0,8 mins 32 secs,11,row,123.09375
411,2015-11-10,Every 2 mins for 10 mins: Deadlift,1995.806428,True,10986,600000.0,4400 lbs,34,deadlift,18.31
412,2015-11-10,Alt EMOM 12 mins: Strict Pull-ups and Strict Bar Dips,8868.0,False,8868,720000.0,Completed,53,"bar dip, dip, pull-up, strict bar dip, strict pull-up",12.3166666667
414,2015-11-10,"3 RFT: Rows, Air Squats, Burpees and Pull-ups",548000.0,False,48195,548000.0,9 mins 8 secs,45,"row, air squat, burpee, pull-up, squat",87.947080292
415,2015-11-06,Row 500 m TT,108100.0,True,22091,108100.0,1 min 48.1 secs,12,row,204.357076781
416,2015-11-06,Every 2 mins for 10 mins: Back Squat,2444.8628743,True,16411,600000.0,5390 lbs,36,"back squat, squat",27.3516666667
421,2015-11-04,10-8-6-4-2: Muscle-ups and Handstand Push-ups,967000.0,False,3178,967000.0,16 mins 7 secs,45,"handstand push-up, muscle-up, push-up",3.28645294726
422,2015-11-04,Every 2 mins for 10 mins: Deadlift,2413.1114084,True,14434,600000.0,5320 lbs,34,deadlift,24.0566666667
424,2015-11-02,Every 30 secs for 10 mins: Squat Snatch,771.107029,True,14688,600000.0,1700 lbs,39,"snatch, squat snatch, squat",24.48
426,2015-11-02,Every 2 mins for 10 mins: Front Squat,1876.0,True,14384,600000.0,1876 kg,37,"front squat, squat",23.9733333333
427,2015-11-02,"AMRAP 10 mins: Dumbbell Walking Lunges, Dumbbell Push Press, Dumbbell Walking Lunges and Rope Climbs",2.15,False,4152,600000.0,2 rounds + 24 ft,100,"lunge, rope climb, walking lunge, dumbbell push press, dumbbell walking lunge, press, push press",6.92
429,2015-11-01,Isabel:Snatch 135 lbs 30 reps for time.,395000.0,True,23606,395000.0,6 mins 35 secs,6,snatch,59.7620253165
430,2015-11-01,Every 2 mins for 10 mins: Overhead Squat,1571.69756205,True,13300,600000.0,3465 lbs,40,"overhead squat, squat",22.1666666667
431,2015-11-01,Alt EMOM 12 mins: Strict Pull-ups and Strict Bar Dips,8868.0,False,8868,720000.0,Completed,53,"bar dip, dip, pull-up, strict bar dip, strict pull-up",12.3166666667
433,2015-11-01,"""Tabata"" - Pvc Thrusters and Burpees : 8 x 20 secs / 10 secs",77.0,True,14120,480000.0,77 reps | 51 + 26,60,"burpee, pvc thruster, thruster",29.4166666667
436,2015-10-31,The Seven,2073000.0,False,78473,2073000.0,34 mins 33 secs,9,The Seven,37.854799807
438,2015-10-29,Every 1 min for 20 mins: Power Clean & Jerk,1154.39258165,True,19182,1200000.0,2545 lbs,43,"clean, clean & jerk, jerk, power clean, power clean & jerk",15.985
440,2015-10-25,"Karen:150 Wallball shots, 20 lbs ball For time",513000.0,True,45418,513000.0,8 mins 33 secs,5,,88.5341130604
445,2015-10-24,"Every 4 mins for 20 mins: Rows, Air Squats and Rope Climb (Legless)s",5.0,False,70801,1200000.0,5.0 rounds,68,"row, air squat, rope climb, squat",59.0008333333
446,2015-10-24,"Chipper: Ankle Mobilities, Kneeling Shoulder Stretches, 200 m, 7 and  more",660000.0,False,18449,660000.0,11 mins,74,kneeling shoulder stretch,27.953030303
447,2015-10-24,Every 2 mins for 10 mins: Back Squat,1177.07220015,True,7494,600000.0,2595 lbs,36,"back squat, squat",12.49
448,2015-10-24,Every 1 min for 5 mins: Strict Press,469.46810295,True,3045,300000.0,1035 lbs,36,"press, strict press",10.15
450,2015-10-23,"""Tabata"" - Pvc Thrusters and Burpees : 8 x 20 secs / 10 secs",116.0,True,21604,480000.0,116 reps | 76 + 40,60,"burpee, pvc thruster, thruster",45.0083333333
452,2015-10-23,Grace:Clean and Jerk 135 lbs 30 reps for time.,258000.0,True,25148,258000.0,4 mins 18 secs,5,"clean, jerk",97.4728682171
453,2015-10-23,Every 2 mins for 10 mins: Deadlift,1279.1304834,True,7251,600000.0,2820 lbs,34,deadlift,12.085
454,2015-10-23,Alt EMOM 12 mins: Strict Pull-ups and Strict Bar Dips,8819.0,False,8819,720000.0,Completed,53,"bar dip, dip, pull-up, strict bar dip, strict pull-up",12.2486111111
457,2015-10-21,40-30-20-10: Wall Balls and Ball Slams,809000.0,True,59276,809000.0,13 mins 29 secs,38,"ball slam, wall ball",73.2707045735
460,2015-10-21,Every 2 mins for 10 mins: Front Squat,898.1128926,True,6482,600000.0,1980 lbs,37,"front squat, squat",10.8033333333
463,2015-10-20,J.T.,1164000.0,False,3972,1164000.0,19 mins 24 secs,4,J.T.,3.41237113402
465,2015-10-20,Every 2 mins for 10 mins: Overhead Squat,775.6429527,True,6046,600000.0,1710 lbs,40,"overhead squat, squat",10.0766666667
466,2015-10-20,AbMat Sit-up : 100 Reps for Time,265000.0,True,18054,265000.0,4 mins 25 secs,32,"abmat sit-up, sit-up",68.1283018868
469,2015-10-17,5 RFT: Burpee Box Jumps and Dumbbell Thrusters,613000.0,False,53774,613000.0,10 mins 13 secs,46,"box jump, burpee, burpee box jump, dumbbell thruster, thruster",87.722675367
470,2015-10-17,Every 2 mins for 10 mins: Deadlift,1905.087954,True,11090,600000.0,4200 lbs,34,deadlift,18.4833333333
471,2015-10-16,Cindy:5 Pull-ups 10 Push-ups 15 Squats As many rounds as possible in 20 minutes,9.467,True,74441,1200000.0,9 rounds + 5 Pull-ups + 4 Push-ups | 279 reps,5,"pull-up, push-up, squat",62.0341666667
472,2015-10-16,Every 2 mins for 10 mins: Front Squat,1236.03920825,True,9874,600000.0,2725 lbs,37,"front squat, squat",16.4566666667
473,2015-10-14,Every 2 mins for 10 mins: Overhead Squat,963.88378625,True,8904,600000.0,2125 lbs,40,"overhead squat, squat",14.84
474,2015-10-14,Every 45 secs for 15 mins: Squat Clean,1002.4391377,True,15499,900000.0,2210 lbs,38,"clean, squat clean, squat",17.2211111111
476,2015-10-13,5 RFT: Front Squats and 400 m,784000.0,False,47135,784000.0,13 mins 4 secs,29,"front squat, squat",60.1211734694
477,2015-10-13,Every 1 min for 20 mins: Double Unders and Squat Snatches,20.0,False,50006,1200000.0,20.0 rounds,57,"double under, snatch, squat snatch, squat",41.6716666667
479,2015-10-06,Every 2 mins for 10 mins: Back Squat,2270.22981185,True,15747,600000.0,5005 lbs,36,"back squat, squat",26.245
480,2015-10-06,"""Tabata"" - Toes-to-bars : 8 x 20 secs / 10 secs",76.0,False,13721,240000.0,76 reps | 76,47,toes-to-bar,57.1708333333
484,2015-10-04,"Fran:Thruster 95 lbs Pull-ups 21-15-9 reps, for time.",381000.0,False,18976,381000.0,6 mins 21 secs,4,"pull-up, thruster",49.8057742782
485,2015-10-04,Every 2 mins for 10 mins: Deadlift,1587.573295,True,10792,600000.0,3500 lbs,34,deadlift,17.9866666667
486,2015-10-04,Every 1 min for 5 mins: Press,698.5322498,True,2719,300000.0,1540 lbs,29,press,9.06333333333
488,2015-10-01,"AMRAP 12 mins: Pull-ups, Single Arm Db Bent Over Rows, Single Arm Db Bent Over Rows, and Hanging Knee Raises",2.833,True,5292,720000.0,2 rounds + 6 Pull-ups + 12 Single Arm Db Bent Over Rows + 12 Single Arm Db Bent Over Rows + 5 Hanging Knee Raises | 125 reps,108,"row, hanging knee raise, pull-up, single arm db bent over row",7.35
489,2015-09-25,"FT: Box Jumps, One Arm Dumbbell Snatch (Alternating)s, One Arm Dumbbell Snatch (Alternating)s, and Box Jumps",939000.0,True,30333,939000.0,15 mins 39 secs,108,"box jump, dumbbell snatch, one arm dumbbell snatch (alternating), snatch",32.303514377
490,2015-08-20,"FT: 800 m, Pull-ups, Box Jumps, and 4 more",2510000.0,True,117544,2510000.0,41 mins 50 secs,42,"box jump, pull-up",46.8302788845
493,2015-07-21,3 RFT: Double Unders and Hang Clean & Jerks,340000.0,True,31323,340000.0,5 mins 40 secs,43,"double under, clean, clean & jerk, hang clean, hang clean & jerk, jerk",92.1264705882
496,2015-06-27,"5 RFT: Cleans, Sprints, Kettlebell Snatches, and Rests",1582000.0,True,79752,1582000.0,26 mins 22 secs,54,"sprint, clean, kettlebell snatch, snatch",50.412136536
497,2015-06-09,"4x AMRAP 4 mins: 400 m, Kettlebell Swing (American)s, and Double Unders",3.628,True,86109,960000.0,3.628 rounds,71,"double under, kettlebell swing, kettlebell swing (american)",89.696875
498,2015-06-08,FT: Air Squats; 2x 500 m and Squat Jumps,900000.0,True,51853,900000.0,15 mins,40,"air squat, squat jump, squat",57.6144444444
499,2015-06-06,"FT: AbMat Sit-ups, Deadlifts, AbMat Sit-ups, and 2 more",556000.0,True,40509,556000.0,9 mins 16 secs,55,"abmat sit-up, sit-up, deadlift",72.8579136691
500,2015-06-05,"FT: Jump Rope (Singles)s, Goblet Squats, Jump Rope (Singles)s, and 7 more",495000.0,True,58146,495000.0,8 mins 15 secs,73,"jump rope (singles), goblet squat, squat",117.466666667
501,2015-06-01,"FT: Burpees, Hang Power Cleans, Burpees, and 3 more",924000.0,True,53788,924000.0,15 mins 24 secs,51,"burpee, clean, hang power clean, power clean",58.2121212121
502,2015-05-30,FT: Burpees; 5x Double Unders and AbMat Sit-ups; Wall Balls,934000.0,True,61774,934000.0,15 mins 34 secs,59,"double under, abmat sit-up, burpee, sit-up, wall ball",66.1391862955
503,2015-05-25,"Murph:1 mile Run 100 Pull-ups 200 Push-ups 300 Squats 1 mile Run For time. Partition the pull-ups, push-ups, and squats as needed. ve got a twenty pound vest or body armor, wear it.""]",4738000.0,True,255769,4738000.0,78 mins 58 secs,5,"run, pull-up, push-up, squat",53.9824820599
506,2015-05-23,3 RFT: Box Jumps and Clean & Jerks,717000.0,True,40541,717000.0,11 mins 57 secs,34,"box jump, clean, clean & jerk, jerk",56.5425383543
509,2015-05-19,5x AMRAP 1 min: Front Squats and Push-up (hand release)s,5.732,True,31238,300000.0,5.732 rounds,56,"push-up, front squat, squat",104.126666667
510,2015-05-19,"4 RFT: Airdyne (Calories)s, Air Squats, and Jumping Squats",750000.0,True,36365,750000.0,12 mins 30 secs,58,"air squat, jumping squat, squat",48.4866666667
511,2015-05-15,"4 RFT: Power Cleans, Front Squats and Shoulder-to-Overheads",445000.0,False,21047,445000.0,7 mins 25 secs,59,"clean, front squat, power clean, shoulder-to-overhead, squat",47.2966292135
512,2015-05-13,Every 1 min for 20 mins: Power Cleans and Lateral Burpee (Over Barbell)s,20.0,True,29447,1200000.0,20.0 rounds,72,"burpee, lateral burpee (over barbell), clean, power clean",24.5391666667
514,2015-05-12,AMRAP 8 mins: Lunges and AbMat Sit-ups,3.125,True,33785,480000.0,3 rounds + 5 Lunges | 125 reps,38,"abmat sit-up, lunge, sit-up",70.3854166667
515,2015-05-11,3x AMRAP 3 mins: 400 m and Pull-ups,2.75,True,43718,540000.0,2.75 rounds,35,pull-up,80.9592592593
516,2015-05-11,"3 RFT: Bench Press, Plyo Push Ups (Height)s, and Side Planks",1193000.0,True,3654,1193000.0,19 mins 53 secs,60,"plyo push ups (height), side plank, bench press, press",3.06286672255
518,2015-05-10,"Randy:75 pound power snatch, 75 reps For time",455000.0,True,35671,455000.0,7 mins 35 secs,5,"power snatch, snatch",78.3978021978
519,2015-05-07,"""Tabata"" - Toes-to-bars : 8 x 20 secs / 10 secs",27.0,True,2046,240000.0,27 reps | 27,47,toes-to-bar,8.525
520,2015-05-07,"""Tabata"" - Box Jump Overs : 8 x 20 secs / 10 secs",80.0,True,10240,240000.0,80 reps | 80,49,"box jump, box jump over",42.6666666667
523,2015-05-06,Alt EMOM 15 mins: Deadlifts and Chin Up (Strict)s,20706.0,True,20706,900000.0,Completed,49,deadlift,23.0066666667
524,2015-05-06,"AMRAP 7 mins: Box Jumps, Sit outs, and Kettlebell Swing (Russian)s",3.524,True,16976,420000.0,3 rounds + 7 Box Jumps + 8 Sit outs | 120 reps,66,"box jump, kettlebell swing",40.419047619
525,2015-05-03,"5 RFT: Squat Snatches, Chin Over Bar Holds, Squat Snatches and Plank Holds",1197000.0,False,35462,1197000.0,19 mins 57 secs,74,"chin over bar hold, plank hold, snatch, squat snatch, squat",29.6257309942
527,2015-05-01,"FT: Rows, Thrusters, and Pull-ups",456000.0,False,37690,456000.0,7 mins 36 secs,33,"row, pull-up, thruster",82.6535087719
528,2015-04-30,"FT: 1 mi, Sit-up (GHD - parallel)s, Deadlifts, and Rope Climbs",1588000.0,True,61509,1588000.0,26 mins 28 secs,62,"rope climb, sit-up, sit-up (ghd - parallel), deadlift",38.733627204
529,2015-04-29,"AMRAP 15 mins: Push-up (hand release)s, Wall Balls, and Kettlebell Swing (American)s",5.333,True,68784,900000.0,5 rounds + 10 Push-up (hand release)s | 235 reps,84,"push-up, kettlebell swing, kettlebell swing (american), wall ball",76.4266666667
530,2015-04-29,"Power Cleans, Front Squats",1564.8936765,False,16686,600000.0,"3450 lbs | 95 lbs, 95 lbs, 105 lbs, 105 lbs, 115 lbs, 115 lbs, 125 lbs, 125 lbs, 135 lbs, and 135 lbs",26,"clean, front squat, power clean, squat",27.81
531,2015-04-28,"3 RFT: Toes To Rings, Box Jump Overs, and Rows",977000.0,True,46655,977000.0,16 mins 17 secs,46,"row, box jump, box jump over, toes to ring",47.7533265097
534,2015-04-24,"FT: Row (calories)s, Rope Climbs, and Box Jump Overs",694000.0,True,17920,694000.0,11 mins 34 secs,52,"row, box jump, box jump over, rope climb",25.8213256484
535,2015-04-23,"6x RFT: Thrusters, AbMat Sit-ups, and Push-ups",692000.0,False,72321,692000.0,"11 mins 32 secs | (1 min 45 secs), (1 min 55 secs), (1 min 59 secs), (2 mins 15 secs), (1 min 45 secs), and (1 min 53 secs)",46,"abmat sit-up, push-up, sit-up, thruster",104.510115607
536,2015-04-22,10-9-8-7-6-5-4-3-2-1: Wall Balls and Pull-ups,710000.0,True,34306,710000.0,11 mins 50 secs,45,"pull-up, wall ball",48.3183098592
538,2015-04-21,"6x AMRAP 3 mins: Double Unders, 300 m, and Kettlebell Swing (American)s",5.408,True,107593,1080000.0,5.408 rounds,71,"double under, kettlebell swing, kettlebell swing (american)",99.6231481481
540,2015-04-20,3 RFT: Renegade Rows and Front Squats,394000.0,True,11206,394000.0,6 mins 34 secs,37,"row, front squat, renegade row, squat",28.4416243655
542,2015-04-15,"2x RFT: Rows, Hang Power Snatches, Bench Dips, and Wall Balls",916000.0,True,63025,916000.0,15 mins 16 secs | (7 mins 34 secs) and (7 mins 42 secs),61,"row, bench dip, dip, hang power snatch, power snatch, snatch, wall ball",68.8045851528
544,2015-04-14,"3 RFT: Pull-ups, Kettlebell Swing (Russian)s, and 400 m",1200000.0,True,63337,1200000.0,20 mins,55,"pull-up, kettlebell swing",52.7808333333
546,2015-04-13,"AMRAP 20 mins: Row (calories)s, Burpees, Toes-to-bars, and Overhead Walking Lunges",1.35,True,32789,1200000.0,1 round + 20 Row (calories)s + 12 Burpees | 142 reps,82,"row, burpee, lunge, overhead walk, toes-to-bar, walking lunge, overhead walking lunge",27.3241666667
550,2015-04-10,"FT: Shoulder-to-Overheads, Rows, Shoulder-to-Overheads, and 3 more",696000.0,True,66106,696000.0,11 mins 36 secs,66,"row, shoulder-to-overhead",94.9798850575
553,2015-04-09,"3 RFT: Wall Balls, Kettlebell Swing (American)s, and Burpee Pull Ups",1095000.0,True,50643,1095000.0,18 mins 15 secs,68,"burpee, kettlebell swing, kettlebell swing (american), wall ball",46.2493150685
555,2015-04-08,"Push Press, Rests, Box Jump (16 in.)s",107.0,False,18224,480000.0,107 reps,37,"box jump, box jump (16 in.), press, push press",37.9666666667
557,2015-04-07,AMReps 3 mins: Burpees,26.0,True,14120,180000.0,26 reps,22,burpee,78.4444444444
559,2015-04-06,3 RFT: Renegade Man Makers and Rows,996000.0,True,58559,996000.0,16 mins 36 secs,35,row,58.7941767068
560,2015-04-02,Hortman:Complete as many rounds as possible in 45 minutes of: Run 800 meters 80 Squats 8 Muscle-ups,2.338,False,158482,2700000.0,2 rounds + 1000 m + 28 Air Squats,7,"run, muscle-up, squat",58.697037037
562,2015-04-01,15-12-9-6-3: Hang Power Cleans and Lateral Burpee (Over Barbell)s,650000.0,True,17755,650000.0,10 mins 50 secs,65,"burpee, lateral burpee (over barbell), clean, hang power clean, power clean",27.3153846154
563,2015-03-27,CrossFit Games Open 15.5,706000.0,True,31666,706000.0,11 mins 46 secs,24,,44.8526912181
564,2015-03-18,21-15-9: Deadlifts and Chest-to-bar Pull-ups,801000.0,True,35895,801000.0,13 mins 21 secs,44,"chest-to-bar pull-up, pull-up, deadlift",44.8127340824
565,2015-03-13,CrossFit Games Open 15.3 - Scaled,3.13,True,72950,840000.0,3 rounds + 13 Wall Balls | 763 reps,33,,86.8452380952
566,2015-03-06,CrossFit Games Open 15.2 - Scaled,138.0,True,40587,720000.0,138 reps,33,,56.3708333333
567,2015-02-27,CrossFit Games Open 15.1,3.289,True,22194,540000.0,3 rounds + 13 Toes-to-bars | 103 reps,24,,41.1
569,2015-02-19,AMRAP 5 mins: Power Snatches and Toes-to-bars,6.0,True,14041,300000.0,6 rounds | 60 reps,45,"toes-to-bar, power snatch, snatch",46.8033333333
570,2015-02-19,AMRAP 5 mins: Hang Power Cleans and Double Unders,8.4,True,31097,300000.0,8 rounds + 4 Hang Power Cleans | 204 reps,49,"double under, clean, hang power clean, power clean",103.656666667
571,2015-02-19,FT: Wall Balls and Burpees,615000.0,True,42293,615000.0,10 mins 15 secs,26,"burpee, wall ball",68.7691056911
572,2015-02-11,Every 1 min for 5 mins: Power Clean & Jerk,16391.0,True,16391,300000.0,Completed,42,"clean, clean & jerk, jerk, power clean, power clean & jerk",54.6366666667
576,2015-02-10,"""FGB Style"" - Toes-to-bars, One Arm Dumbbell Snatch (Alternating)s and Handstand Push-up (box)s",102.0,False,2022,720000.0,"102 reps | 28, 28, 21, and 25 reps",95,"handstand push-up, handstand push-up (box), push-up, toes-to-bar, dumbbell snatch, one arm dumbbell snatch (alternating), snatch",2.80833333333
578,2015-02-06,Every 1 min for 5 mins: Power Clean,15102.0,True,15102,300000.0,Completed,35,"clean, power clean",50.34
580,2015-02-06,3 RFT: Air Squats and 400 m,927000.0,True,68968,927000.0,15 mins 27 secs,27,"air squat, squat",74.3991370011
582,2015-02-05,"4 RFT: Push-up (hand release)s, Push Up (Rings)s and Dumbbell Bench Press",900000.0,False,11630,900000.0,15 mins,73,"push-up, bench press, dumbbell bench press, press",12.9222222222
583,2015-02-04,Every 1 min for 5 mins: Power Clean,14091.0,True,14091,300000.0,Completed,35,"clean, power clean",46.97
584,2015-02-04,"""Death By"" - Deadlift : 95 lbs + 20 lbs / 30 secs",6.6,True,13567,210000.0,6 + (3 Deadlifts),49,deadlift,64.6047619048
585,2015-02-04,6 RFT: Deadlifts and Box Jumps,587000.0,True,41903,587000.0,9 mins 47 secs,30,"box jump, deadlift",71.3850085179
586,2015-02-02,Every 1 min for 5 mins: Power Clean,12070.0,True,12070,300000.0,Completed,35,"clean, power clean",40.2333333333
588,2015-02-02,AMRAP 7 mins: Burpees and Double Unders,6.3,True,28902,420000.0,6 rounds + 3 Burpees | 153 reps,39,"double under, burpee",68.8142857143
589,2015-01-13,"""Death By"" - Front Squat : 65 lbs + 10 lbs / 40 secs",9.8,False,19419,400000.0,9 + (4 Front Squats),52,"front squat, squat",48.5475
590,2015-01-13,AMRAP 8 mins: Hang Squat Cleans and Toes-to-bars,4.063,True,18284,480000.0,4 rounds + Hang Squat Clean | 65 reps,48,"toes-to-bar, clean, hang squat clean, squat clean, squat",38.0916666667
591,2015-01-12,"""Death By"" - Push Press : 35 lbs + 10 lbs / 20 secs",10.0,False,5384,200000.0,9 + (2 Push Press + 3 Push Press),51,"press, push press",26.92
592,2015-01-12,AMRAP 8 mins: Push Press and Box Jump Overs,6.063,True,21993,480000.0,6 rounds + Push Press | 97 reps,43,"box jump, box jump over, press, push press",45.81875
593,2015-01-05,"3 RFT: 400 m, Overhead Squats and Pull-ups",1735000.0,False,83843,1735000.0,28 mins 55 secs,42,"pull-up, overhead squat, squat",48.3244956772
594,2014-12-30,"50-40-30-20-10: Deadlifts, Double Unders and AbMat Sit-ups",1294000.0,True,91773,1294000.0,21 mins 34 secs,58,"double under, abmat sit-up, sit-up, deadlift",70.9219474498
595,2014-12-26,"21-18-15-12-9-6-3: Power Cleans, Sit-up (standard)s and Back Extensions",1010000.0,False,82264,1010000.0,16 mins 50 secs,71,"back extension, sit-up, sit-up (standard), clean, power clean",81.4495049505
596,2014-12-19,"Diane:Deadlift 225 lbs Handstand push-ups 21-15-9 reps, for time.",830000.0,False,27426,830000.0,13 mins 50 secs,5,"handstand push-up, push-up, deadlift",33.043373494
597,2014-12-18,"Chipper: AbMat Sit-ups, 1 mi, GHD Hip Extensions and 2 more",2280000.0,False,110082,2280000.0,38 mins,59,"abmat sit-up, ghd hip extension, hip extension, sit-up",48.2815789474
598,2014-12-17,1-2-3-4-5-6-7-8-9-10-11-12: Hang Power Cleans and Ring Rows,1200000.0,False,29886,1200000.0,20 mins,59,"row, ring row, clean, hang power clean, power clean",24.905
599,2014-12-15,"Chipper: Rows, 500 m, Deadlifts and 3 more",1953000.0,False,77724,1953000.0,32 mins 33 secs,42,"row, deadlift",39.797235023
606,2014-11-18,"4 RFT: Rows, Pull-ups and Push Press",970000.0,True,64250,970000.0,16 mins 10 secs,36,"row, pull-up, press, push press",66.2371134021
607,2014-11-12,CrossFit Games Regional 11.3,471000.0,False,35296,471000.0,7 mins 51 secs,28,,74.9384288747
608,2014-11-11,Riley,2979000.0,True,226162,2979000.0,49 mins 39 secs,5,Riley,75.9187646861
609,2014-11-04,Filthy Fifty,2300000.0,True,126170,2300000.0,38 mins 20 secs,12,,54.8565217391
610,2014-11-03,Isabel:Snatch 135 lbs 30 reps for time.,490000.0,True,23606,490000.0,8 mins 10 secs,6,snatch,48.1755102041
611,2014-11-03,Grace:Clean and Jerk 135 lbs 30 reps for time.,338000.0,True,25196,338000.0,5 mins 38 secs,5,"clean, jerk",74.5443786982
612,2014-10-29,"AMReps 15 mins: Row (calories)s, Burpee Box Jumps, One Arm Dumbbell Snatch (Alternating)s and 2 more",250.0,True,29980,900000.0,250 reps,100,"row, box jump, burpee, burpee box jump, dumbbell snatch, one arm dumbbell snatch (alternating), snatch",33.3111111111
618,2014-10-17,21-15-9: Power Cleans and Box Jumps,876000.0,False,42728,876000.0,14 mins 36 secs,35,"box jump, clean, power clean",48.7762557078
620,2014-10-16,"3 RFT: 400 m, Hang Power Snatches and Pull-ups",1237000.0,False,71543,1237000.0,20 mins 37 secs,46,"pull-up, hang power snatch, power snatch, snatch",57.8358932902
621,2014-10-15,"6x AMRAP 2 mins: Sled Pushes, Kettlebell Swing (Russian)s and Toes-to-bars",4.027,True,26136,720000.0,4.027 rounds,74,"toes-to-bar, kettlebell swing, sled push",36.3
625,2014-10-09,"Chipper: 100 m, One Arm Dumbbell Snatch (Alternating)s, 200 m and 11 more",996000.0,False,47953,996000.0,16 mins 36 secs,73,"dumbbell snatch, one arm dumbbell snatch (alternating), snatch",48.1455823293
626,2014-10-07,Run 1 mi TT,563000.0,True,27157,563000.0,9 mins 23 secs,11,run,48.2362344583
627,2014-10-03,"FT: 800 m, Front Squats, Front Squats and 2 more",1197000.0,False,65702,1197000.0,19 mins 57 secs,48,"front squat, squat",54.8888888889
630,2014-09-30,"5x RFT: Wall Balls, 200 m and AbMat Sit-ups",1350000.0,True,81951,1350000.0,"22 mins 30 secs | (3 mins 51 secs), (3 mins 54 secs), (4 mins 31 secs), (4 mins 36 secs), and (5 mins 38 secs)",43,"abmat sit-up, sit-up, wall ball",60.7044444444
633,2014-09-28,"3 RFT: 400 m, Air Squats and Push Press",920000.0,False,60499,920000.0,15 mins 20 secs,39,"air squat, press, push press, squat",65.7597826087
634,2014-09-25,"Every 2 mins for 12 mins: Body Rows, Hang Power Cleans, Push Press and 2 more",6.0,True,13797,720000.0,6.0 rounds,77,"row, body row, clean, hang power clean, power clean, press, push press",19.1625
636,2014-09-24,FT: Rows and 400 m,272000.0,False,31508,272000.0,4 mins 32 secs,18,row,115.838235294
637,2014-09-24,FT: Assault Bike (Calories)s and 400 m,390000.0,False,11988,390000.0,6 mins 30 secs,38,"assault bike, bike",30.7384615385
638,2014-09-24,"FT: Rows, Assault Bike (Calories)s and 400 m",602000.0,True,31508,602000.0,10 mins 2 secs,44,"assault bike, bike, row",52.3388704319
639,2014-09-24,Wall Balls : 60 Reps for Time,164000.0,False,17085,164000.0,2 mins 44 secs,29,wall ball,104.176829268
643,2014-09-19,"AMRAP 14 mins w/ Buy-in: Double Unders, Overhead Squats, Burpees and AbMat Sit-ups",2.0,True,47290,840000.0,2 rounds,82,"double under, abmat sit-up, burpee, sit-up, overhead squat, squat",56.2976190476
644,2014-09-17,AMRAP 5 mins: Thrusters and Plank Walks,1.625,False,14166,300000.0,1 round + 20 Thrusters + Plank Walk | 45 reps,39,"plank walk, thruster",47.22
645,2014-09-16,"Every 3 mins for 18 mins: Hang Squat Cleans, GHD Sit-ups and Body Rows",,False,39556,1080000.0,Completed,70,"row, body row, ghd sit-up, sit-up, clean, hang squat clean, squat clean, squat",36.6259259259
647,2014-09-14,FT: Medicine Ball Cleans and 200 ft,331000.0,True,46051,331000.0,5 mins 31 secs,35,"clean, medicine ball clean",139.126888218
648,2014-09-14,"FT: Box Jump Overs, Pull-ups, and Thrusters",512000.0,True,38522,512000.0,8 mins 32 secs,43,"box jump, box jump over, pull-up, thruster",75.23828125
649,2014-09-13,"21-15-9: Deadlifts, Shoulder-to-Overheads and Toes-to-bars",539000.0,True,19356,539000.0,8 mins 59 secs,58,"toes-to-bar, deadlift, shoulder-to-overhead",35.9109461967
650,2014-09-13,"Chipper: Snatches, Snatches, Snatches and 6 more",540000.0,True,8184,540000.0,9 mins,48,snatch,15.1555555556
